show_id,type,genre
s2298,Movie,Independent Movies
s2298,Movie,Thrillers
s2299,TV Show,International TV Shows
s2299,TV Show,TV Action & Adventure
s2299,TV Show,TV Dramas
s2300,TV Show,British TV Shows
s2300,TV Show,Docuseries
s2300,TV Show,International TV Shows
s2301,Movie,Movies
s2302,Movie,Movies
s2303,Movie,Dramas
s2303,Movie,Independent Movies
s2304,Movie,Dramas
s2304,Movie,Independent Movies
s2305,TV Show,Crime TV Shows
s2305,TV Show,International TV Shows
s2305,TV Show,Spanish-Language TV Shows
s2306,Movie,Action & Adventure
s2306,Movie,Comedies
s2306,Movie,Dramas
s2307,TV Show,Kids' TV
s2307,TV Show,TV Comedies
s2308,Movie,Children & Family Movies
s2308,Movie,Comedies
s2309,Movie,Children & Family Movies
s2309,Movie,Dramas
s2309,Movie,Faith & Spirituality
s2310,Movie,Children & Family Movies
s2310,Movie,Dramas
s2310,Movie,Sports Movies
s2311,Movie,Children & Family Movies
s2311,Movie,Dramas
s2311,Movie,Sports Movies
s2312,TV Show,TV Comedies
s2313,Movie,Action & Adventure
s2313,Movie,Dramas
s2313,Movie,International Movies
s2314,TV Show,Anime Series
s2314,TV Show,International TV Shows
s2315,Movie,Comedies
s2315,Movie,International Movies
s2316,Movie,Dramas
s2316,Movie,International Movies
s2317,Movie,Documentaries
s2318,Movie,Dramas
s2318,Movie,LGBTQ Movies
s2319,Movie,Action & Adventure
s2319,Movie,Dramas
s2319,Movie,International Movies
s2320,Movie,Dramas
s2320,Movie,Thrillers
s2321,TV Show,Crime TV Shows
s2321,TV Show,International TV Shows
s2321,TV Show,TV Dramas
s2322,Movie,Documentaries
s2323,Movie,Dramas
s2323,Movie,Independent Movies
s2323,Movie,International Movies
s2324,Movie,Children & Family Movies
s2324,Movie,Comedies
s2325,Movie,Action & Adventure
s2325,Movie,Comedies
s2325,Movie,International Movies
s2326,Movie,Comedies
s2326,Movie,International Movies
s2326,Movie,Music & Musicals
s2327,Movie,Action & Adventure
s2327,Movie,Dramas
s2327,Movie,International Movies
s2328,TV Show,Kids' TV
s2329,Movie,Stand-Up Comedy
s2330,Movie,Dramas
s2330,Movie,Independent Movies
s2330,Movie,International Movies
s2331,Movie,Stand-Up Comedy
s2332,TV Show,International TV Shows
s2332,TV Show,TV Dramas
s2333,Movie,Stand-Up Comedy
s2334,Movie,Stand-Up Comedy
s2335,Movie,Dramas
s2335,Movie,International Movies
s2335,Movie,Thrillers
s2336,Movie,Documentaries
s2336,Movie,Music & Musicals
s2337,Movie,Dramas
s2337,Movie,International Movies
s2338,TV Show,TV Action & Adventure
s2338,TV Show,TV Comedies
s2339,Movie,Dramas
s2339,Movie,International Movies
s2339,Movie,Romantic Movies
s2340,Movie,International Movies
s2340,Movie,Thrillers
s2341,TV Show,Kids' TV
s2341,TV Show,TV Comedies
s2342,Movie,Comedies
s2342,Movie,International Movies
s2342,Movie,Romantic Movies
s2343,Movie,Horror Movies
s2343,Movie,International Movies
s2343,Movie,Thrillers
s2344,Movie,Horror Movies
s2344,Movie,International Movies
s2344,Movie,Thrillers
s2345,Movie,Horror Movies
s2345,Movie,International Movies
s2345,Movie,Thrillers
s2346,Movie,Action & Adventure
s2346,Movie,Comedies
s2347,TV Show,International TV Shows
s2347,TV Show,TV Comedies
s2347,TV Show,TV Dramas
s2348,TV Show,International TV Shows
